order_id,date,region,salesperson,product,category,units,unit_price_nok,total_nok,channel,customer_segment
ORD-10036,2026-07-03,Trondheim,Nora Lien,Security Suite License,Software,1,1548,1548,Web,SMB
ORD-10037,2026-07-03,Trondheim,Henrik Moen,"Monitor 27"" 4K",Hardware,4,4990,19960,Phone,SMB
ORD-10038,2026-07-03,Stavanger,Lars Eide,Laptop Pro 14,Hardware,1,18990,18990,Direct,SMB
ORD-10039,2026-07-03,Stavanger,Lars Eide,Office Suite License,Software,4,1188,4752,Phone,SMB
ORD-10040,2026-07-03,Stavanger,Oda Strand,Wireless Headset,Accessories,1,1290,1290,Web,SMB
ORD-10041,2026-07-03,Tromsø,Mia Foss,Security Suite License,Software,2,1548,3096,Web,Consumer
ORD-10042,2026-07-04,Oslo,Emma Solheim,Laptop Air 13,Hardware,1,12490,12490,Web,Consumer
ORD-10043,2026-07-04,Bergen,Markus Vik,Cloud Backup 1TB,Services,31,990,30690,Partner,Enterprise
ORD-10044,2026-07-04,Stavanger,Lars Eide,Docking Station,Hardware,2,1890,3780,Partner,SMB
ORD-10045,2026-07-06,Oslo,Ingrid Bakke,Laptop Air 13,Hardware,27,12490,337230,Web,Enterprise
ORD-10046,2026-07-06,Oslo,Ingrid Bakke,Onboarding Package,Services,3,7500,22500,Web,Consumer
ORD-10047,2026-07-06,Oslo,Emma Solheim,Security Suite License,Software,1,1548,1548,Phone,SMB
ORD-10048,2026-07-06,Oslo,Jonas Berg,Laptop Air 13,Hardware,2,12490,24980,Partner,Consumer
ORD-10049,2026-07-06,Bergen,Sofie Dahl,Docking Station,Hardware,10,1890,18900,Direct,Public Sector
ORD-10050,2026-07-06,Bergen,Sofie Dahl,Laptop Pro 14,Hardware,4,18990,75960,Partner,SMB
ORD-10051,2026-07-06,Bergen,Markus Vik,Laptop Pro 14,Hardware,2,18990,37980,Partner,SMB
ORD-10052,2026-07-06,Trondheim,Henrik Moen,Onboarding Package,Services,4,7500,30000,Web,SMB
ORD-10053,2026-07-06,Trondheim,Henrik Moen,Laptop Air 13,Hardware,2,12490,24980,Web,Consumer
ORD-10054,2026-07-06,Trondheim,Nora Lien,USB-C Hub,Accessories,1,449,449,Partner,SMB
ORD-10055,2026-07-06,Trondheim,Nora Lien,Laptop Pro 14,Hardware,2,18990,37980,Phone,Consumer
ORD-10056,2026-07-06,Stavanger,Lars Eide,USB-C Hub,Accessories,2,449,898,Phone,Consumer
ORD-10057,2026-07-06,Stavanger,Oda Strand,USB-C Hub,Accessories,3,449,1347,Direct,SMB
ORD-10058,2026-07-06,Tromsø,Mia Foss,Wireless Headset,Accessories,1,1290,1290,Direct,SMB
ORD-10059,2026-07-07,Oslo,Ingrid Bakke,Docking Station,Hardware,19,1890,35910,Phone,Enterprise
ORD-10060,2026-07-07,Oslo,Ingrid Bakke,Onboarding Package,Services,1,7500,7500,Partner,SMB
ORD-10061,2026-07-07,Oslo,Jonas Berg,Managed Support (month),Services,6,2490,14940,Web,Enterprise
ORD-10062,2026-07-07,Oslo,Jonas Berg,"Monitor 27"" 4K",Hardware,7,4990,34930,Web,Enterprise
ORD-10063,2026-07-07,Oslo,Emma Solheim,USB-C Hub,Accessories,3,449,1347,Direct,SMB
ORD-10064,2026-07-07,Oslo,Emma Solheim,Security Suite License,Software,2,1548,3096,Partner,SMB
ORD-10065,2026-07-07,Oslo,Ingrid Bakke,Onboarding Package,Services,28,7500,210000,Direct,Enterprise
ORD-10066,2026-07-07,Oslo,Ingrid Bakke,Managed Support (month),Services,13,2490,32370,Partner,Public Sector
ORD-10067,2026-07-07,Oslo,Emma Solheim,Wireless Headset,Accessories,8,1290,10320,Partner,Public Sector
ORD-10068,2026-07-07,Bergen,Markus Vik,Docking Station,Hardware,4,1890,7560,Phone,SMB
ORD-10069,2026-07-07,Bergen,Sofie Dahl,USB-C Hub,Accessories,24,449,10776,Partner,Enterprise
ORD-10070,2026-07-07,Trondheim,Nora Lien,Office Suite License,Software,2,1188,2376,Direct,SMB
ORD-10071,2026-07-07,Trondheim,Henrik Moen,Managed Support (month),Services,3,2490,7470,Web,SMB
ORD-10072,2026-07-07,Trondheim,Henrik Moen,Managed Support (month),Services,2,2490,4980,Phone,SMB
ORD-10073,2026-07-07,Trondheim,Henrik Moen,Laptop Pro 14,Hardware,4,18990,75960,Web,SMB
ORD-10074,2026-07-07,Stavanger,Lars Eide,USB-C Hub,Accessories,2,449,898,Direct,Consumer
ORD-10075,2026-07-07,Stavanger,Lars Eide,USB-C Hub,Accessories,1,449,449,Web,SMB
ORD-10076,2026-07-07,Stavanger,Lars Eide,Docking Station,Hardware,4,1890,7560,Web,SMB
ORD-10077,2026-07-07,Stavanger,Oda Strand,Laptop Air 13,Hardware,38,12490,474620,Partner,Enterprise
ORD-10078,2026-07-07,Tromsø,Mia Foss,Security Suite License,Software,2,1548,3096,Direct,SMB
ORD-10079,2026-07-07,Tromsø,Mia Foss,Wireless Headset,Accessories,3,1290,3870,Direct,Consumer
ORD-10080,2026-07-08,Oslo,Emma Solheim,Docking Station,Hardware,1,1890,1890,Partner,SMB
ORD-10081,2026-07-08,Oslo,Ingrid Bakke,Managed Support (month),Services,2,2490,4980,Phone,SMB
ORD-10082,2026-07-08,Oslo,Jonas Berg,Onboarding Package,Services,2,7500,15000,Web,SMB
ORD-10083,2026-07-08,Oslo,Jonas Berg,USB-C Hub,Accessories,4,449,1796,Direct,SMB
ORD-10084,2026-07-08,Bergen,Sofie Dahl,USB-C Hub,Accessories,4,449,1796,Direct,SMB
ORD-10085,2026-07-08,Bergen,Markus Vik,Mechanical Keyboard,Accessories,4,990,3960,Direct,SMB
ORD-10086,2026-07-08,Bergen,Markus Vik,Office Suite License,Software,4,1188,4752,Direct,SMB
ORD-10087,2026-07-08,Bergen,Markus Vik,USB-C Hub,Accessories,4,449,1796,Phone,SMB
ORD-10088,2026-07-08,Bergen,Sofie Dahl,"Monitor 27"" 4K",Hardware,1,4990,4990,Direct,Consumer
ORD-10089,2026-07-08,Bergen,Markus Vik,Laptop Air 13,Hardware,15,12490,187350,Direct,Public Sector
ORD-10090,2026-07-08,Trondheim,Henrik Moen,Laptop Pro 14,Hardware,3,18990,56970,Phone,SMB
ORD-10091,2026-07-08,Trondheim,Nora Lien,Mechanical Keyboard,Accessories,4,990,3960,Partner,SMB
ORD-10092,2026-07-08,Trondheim,Nora Lien,Wireless Headset,Accessories,4,1290,5160,Web,Consumer
ORD-10093,2026-07-08,Trondheim,Henrik Moen,Mechanical Keyboard,Accessories,1,990,990,Web,SMB
ORD-10094,2026-07-08,Stavanger,Oda Strand,Laptop Pro 14,Hardware,4,18990,75960,Direct,Public Sector
ORD-10095,2026-07-08,Stavanger,Oda Strand,USB-C Hub,Accessories,28,449,12572,Phone,Enterprise
ORD-10096,2026-07-09,Oslo,Emma Solheim,Laptop Air 13,Hardware,2,12490,24980,Partner,Consumer
ORD-10097,2026-07-09,Bergen,Markus Vik,Cloud Backup 1TB,Services,4,990,3960,Direct,SMB
ORD-10098,2026-07-09,Trondheim,Henrik Moen,Laptop Air 13,Hardware,15,12490,187350,Web,Public Sector
ORD-10099,2026-07-09,Trondheim,Henrik Moen,Mechanical Keyboard,Accessories,9,990,8910,Partner,Enterprise
ORD-10100,2026-07-09,Trondheim,Henrik Moen,USB-C Hub,Accessories,1,449,449,Direct,Consumer
ORD-10101,2026-07-09,Stavanger,Lars Eide,Managed Support (month),Services,4,2490,9960,Phone,Consumer
ORD-10102,2026-07-09,Stavanger,Lars Eide,"Monitor 27"" 4K",Hardware,11,4990,54890,Direct,Public Sector
ORD-10103,2026-07-10,Oslo,Emma Solheim,Wireless Headset,Accessories,2,1290,2580,Web,SMB
ORD-10104,2026-07-10,Oslo,Jonas Berg,Office Suite License,Software,4,1188,4752,Direct,SMB
ORD-10105,2026-07-10,Oslo,Jonas Berg,Laptop Pro 14,Hardware,16,18990,303840,Direct,Enterprise
ORD-10106,2026-07-10,Oslo,Ingrid Bakke,Mechanical Keyboard,Accessories,3,990,2970,Web,SMB
ORD-10107,2026-07-10,Oslo,Emma Solheim,Docking Station,Hardware,4,1890,7560,Direct,SMB
ORD-10108,2026-07-10,Oslo,Emma Solheim,Docking Station,Hardware,9,1890,17010,Web,Public Sector
ORD-10109,2026-07-10,Bergen,Markus Vik,Wireless Headset,Accessories,9,1290,11610,Partner,Public Sector
ORD-10110,2026-07-10,Bergen,Sofie Dahl,Onboarding Package,Services,34,7500,255000,Partner,Enterprise
ORD-10111,2026-07-10,Bergen,Sofie Dahl,Wireless Headset,Accessories,2,1290,2580,Partner,SMB
ORD-10112,2026-07-10,Bergen,Markus Vik,Onboarding Package,Services,17,7500,127500,Phone,Enterprise
ORD-10113,2026-07-10,Trondheim,Nora Lien,Wireless Headset,Accessories,3,1290,3870,Phone,Public Sector
ORD-10114,2026-07-10,Trondheim,Nora Lien,Docking Station,Hardware,3,1890,5670,Web,SMB
ORD-10115,2026-07-10,Trondheim,Henrik Moen,Wireless Headset,Accessories,1,1290,1290,Partner,SMB
ORD-10116,2026-07-10,Stavanger,Lars Eide,Laptop Air 13,Hardware,3,12490,37470,Direct,Consumer
ORD-10117,2026-07-10,Stavanger,Lars Eide,Office Suite License,Software,1,1188,1188,Partner,SMB
ORD-10118,2026-07-10,Tromsø,Mia Foss,Laptop Air 13,Hardware,4,12490,49960,Direct,Consumer
ORD-10119,2026-07-11,Oslo,Ingrid Bakke,Managed Support (month),Services,1,2490,2490,Phone,Consumer
ORD-10120,2026-07-11,Oslo,Ingrid Bakke,Security Suite License,Software,14,1548,21672,Direct,Public Sector
ORD-10121,2026-07-11,Bergen,Sofie Dahl,Office Suite License,Software,4,1188,4752,Partner,SMB
ORD-10122,2026-07-12,Oslo,Ingrid Bakke,Managed Support (month),Services,2,2490,4980,Phone,SMB
ORD-10123,2026-07-13,Oslo,Jonas Berg,Onboarding Package,Services,4,7500,30000,Web,SMB
ORD-10124,2026-07-13,Oslo,Emma Solheim,Docking Station,Hardware,2,1890,3780,Direct,Consumer
ORD-10125,2026-07-13,Oslo,Ingrid Bakke,Laptop Pro 14,Hardware,2,18990,37980,Web,Consumer
ORD-10126,2026-07-13,Oslo,Ingrid Bakke,"Monitor 27"" 4K",Hardware,33,4990,164670,Web,Enterprise
ORD-10127,2026-07-13,Oslo,Jonas Berg,Onboarding Package,Services,4,7500,30000,Partner,SMB
ORD-10128,2026-07-13,Bergen,Sofie Dahl,Office Suite License,Software,1,1188,1188,Direct,SMB
ORD-10129,2026-07-13,Bergen,Sofie Dahl,Cloud Backup 1TB,Services,1,990,990,Partner,SMB
ORD-10130,2026-07-13,Bergen,Markus Vik,"Monitor 27"" 4K",Hardware,22,4990,109780,Phone,Enterprise
ORD-10131,2026-07-13,Bergen,Sofie Dahl,Managed Support (month),Services,1,2490,2490,Direct,Consumer
ORD-10132,2026-07-13,Trondheim,Henrik Moen,"Monitor 27"" 4K",Hardware,4,4990,19960,Partner,SMB
ORD-10133,2026-07-13,Trondheim,Nora Lien,Security Suite License,Software,1,1548,1548,Partner,SMB
ORD-10134,2026-07-13,Stavanger,Lars Eide,Mechanical Keyboard,Accessories,4,990,3960,Web,SMB
ORD-10135,2026-07-13,Stavanger,Lars Eide,USB-C Hub,Accessories,3,449,1347,Direct,SMB
ORD-10136,2026-07-13,Stavanger,Lars Eide,Laptop Pro 14,Hardware,2,18990,37980,Partner,SMB
ORD-10137,2026-07-14,Oslo,Ingrid Bakke,Laptop Pro 14,Hardware,13,18990,246870,Phone,Public Sector
ORD-10138,2026-07-14,Oslo,Jonas Berg,Security Suite License,Software,4,1548,6192,Web,SMB
ORD-10139,2026-07-14,Oslo,Ingrid Bakke,Laptop Air 13,Hardware,2,12490,24980,Direct,SMB
ORD-10140,2026-07-14,Oslo,Emma Solheim,Wireless Headset,Accessories,31,1290,39990,Direct,Enterprise
ORD-10141,2026-07-14,Oslo,Jonas Berg,Docking Station,Hardware,29,1890,54810,Phone,Enterprise
ORD-10142,2026-07-14,Oslo,Emma Solheim,Security Suite License,Software,15,1548,23220,Web,Public Sector
ORD-10143,2026-07-14,Oslo,Jonas Berg,USB-C Hub,Accessories,3,449,1347,Web,SMB
ORD-10144,2026-07-14,Bergen,Sofie Dahl,"Monitor 27"" 4K",Hardware,4,4990,19960,Partner,SMB
ORD-10145,2026-07-14,Bergen,Sofie Dahl,Security Suite License,Software,4,1548,6192,Direct,Consumer
ORD-10146,2026-07-14,Bergen,Sofie Dahl,Docking Station,Hardware,2,1890,3780,Direct,Consumer
ORD-10147,2026-07-14,Trondheim,Henrik Moen,USB-C Hub,Accessories,4,449,1796,Direct,SMB
ORD-10148,2026-07-14,Trondheim,Nora Lien,Managed Support (month),Services,2,2490,4980,Direct,Consumer
ORD-10149,2026-07-14,Trondheim,Henrik Moen,"Monitor 27"" 4K",Hardware,11,4990,54890,Direct,Enterprise
ORD-10150,2026-07-14,Trondheim,Henrik Moen,Security Suite License,Software,1,1548,1548,Phone,Consumer
ORD-10151,2026-07-14,Stavanger,Oda Strand,Laptop Air 13,Hardware,26,12490,324740,Direct,Enterprise
ORD-10152,2026-07-14,Tromsø,Mia Foss,Mechanical Keyboard,Accessories,4,990,3960,Partner,Consumer
ORD-10153,2026-07-14,Tromsø,Mia Foss,Security Suite License,Software,1,1548,1548,Phone,SMB
ORD-10154,2026-07-15,Oslo,Ingrid Bakke,Laptop Pro 14,Hardware,1,18990,18990,Direct,Consumer
ORD-10155,2026-07-15,Oslo,Ingrid Bakke,Laptop Pro 14,Hardware,1,18990,18990,Partner,SMB
ORD-10156,2026-07-15,Bergen,Sofie Dahl,Mechanical Keyboard,Accessories,2,990,1980,Direct,SMB
ORD-10157,2026-07-15,Trondheim,Henrik Moen,"Monitor 27"" 4K",Hardware,4,4990,19960,Phone,SMB
ORD-10158,2026-07-15,Stavanger,Lars Eide,Cloud Backup 1TB,Services,34,990,33660,Partner,Enterprise
ORD-10159,2026-07-15,Stavanger,Oda Strand,Office Suite License,Software,2,1188,2376,Web,Consumer
ORD-10160,2026-07-15,Tromsø,Mia Foss,Managed Support (month),Services,3,2490,7470,Direct,Consumer
ORD-10161,2026-07-16,Oslo,Jonas Berg,Docking Station,Hardware,4,1890,7560,Web,Consumer
ORD-10162,2026-07-16,Oslo,Ingrid Bakke,USB-C Hub,Accessories,6,449,2694,Direct,Enterprise
ORD-10163,2026-07-16,Oslo,Jonas Berg,Laptop Pro 14,Hardware,36,18990,683640,Partner,Enterprise
ORD-10164,2026-07-16,Oslo,Ingrid Bakke,Cloud Backup 1TB,Services,3,990,2970,Phone,SMB
ORD-10165,2026-07-16,Oslo,Emma Solheim,Laptop Air 13,Hardware,1,12490,12490,Partner,Consumer
ORD-10166,2026-07-16,Oslo,Jonas Berg,Laptop Pro 14,Hardware,10,18990,189900,Partner,Enterprise
ORD-10167,2026-07-16,Bergen,Markus Vik,"Monitor 27"" 4K",Hardware,3,4990,14970,Partner,Consumer
ORD-10168,2026-07-16,Bergen,Markus Vik,Wireless Headset,Accessories,4,1290,5160,Partner,Consumer
ORD-10169,2026-07-16,Bergen,Sofie Dahl,Laptop Air 13,Hardware,14,12490,174860,Phone,Enterprise
ORD-10170,2026-07-16,Trondheim,Nora Lien,Security Suite License,Software,4,1548,6192,Web,SMB
ORD-10171,2026-07-16,Trondheim,Nora Lien,Security Suite License,Software,3,1548,4644,Partner,SMB
ORD-10172,2026-07-16,Trondheim,Nora Lien,Managed Support (month),Services,1,2490,2490,Phone,Consumer
ORD-10173,2026-07-16,Trondheim,Nora Lien,Laptop Pro 14,Hardware,11,18990,208890,Phone,Public Sector
ORD-10174,2026-07-16,Stavanger,Lars Eide,Onboarding Package,Services,4,7500,30000,Web,SMB
ORD-10175,2026-07-17,Oslo,Jonas Berg,Office Suite License,Software,2,1188,2376,Phone,SMB
ORD-10176,2026-07-17,Oslo,Jonas Berg,Office Suite License,Software,4,1188,4752,Phone,SMB
ORD-10177,2026-07-17,Oslo,Jonas Berg,Managed Support (month),Services,4,2490,9960,Direct,SMB
ORD-10178,2026-07-17,Oslo,Jonas Berg,Laptop Pro 14,Hardware,9,18990,170910,Direct,Public Sector
ORD-10179,2026-07-17,Oslo,Ingrid Bakke,Managed Support (month),Services,3,2490,7470,Web,SMB
ORD-10180,2026-07-17,Oslo,Jonas Berg,Wireless Headset,Accessories,1,1290,1290,Direct,SMB
ORD-10181,2026-07-17,Oslo,Ingrid Bakke,Managed Support (month),Services,8,2490,19920,Partner,Enterprise
ORD-10182,2026-07-17,Oslo,Ingrid Bakke,"Monitor 27"" 4K",Hardware,2,4990,9980,Phone,SMB
ORD-10183,2026-07-17,Bergen,Markus Vik,Mechanical Keyboard,Accessories,1,990,990,Partner,Consumer
ORD-10184,2026-07-17,Bergen,Markus Vik,"Monitor 27"" 4K",Hardware,12,4990,59880,Web,Enterprise
ORD-10185,2026-07-17,Bergen,Markus Vik,Laptop Pro 14,Hardware,2,18990,37980,Partner,SMB
ORD-10186,2026-07-17,Bergen,Markus Vik,"Monitor 27"" 4K",Hardware,2,4990,9980,Direct,SMB
ORD-10187,2026-07-17,Bergen,Markus Vik,Onboarding Package,Services,4,7500,30000,Partner,SMB
ORD-10188,2026-07-17,Trondheim,Henrik Moen,Cloud Backup 1TB,Services,3,990,2970,Direct,Consumer
ORD-10189,2026-07-17,Trondheim,Henrik Moen,Laptop Pro 14,Hardware,4,18990,75960,Direct,Consumer
ORD-10190,2026-07-17,Stavanger,Oda Strand,Office Suite License,Software,3,1188,3564,Web,Public Sector
ORD-10191,2026-07-17,Stavanger,Lars Eide,Cloud Backup 1TB,Services,3,990,2970,Direct,SMB
ORD-10192,2026-07-17,Tromsø,Mia Foss,Security Suite License,Software,14,1548,21672,Web,Public Sector
ORD-10193,2026-07-18,Oslo,Emma Solheim,Managed Support (month),Services,2,2490,4980,Direct,Consumer
ORD-10194,2026-07-18,Trondheim,Nora Lien,Office Suite License,Software,1,1188,1188,Partner,SMB
ORD-10195,2026-07-20,Oslo,Ingrid Bakke,Onboarding Package,Services,1,7500,7500,Partner,Consumer
ORD-10196,2026-07-20,Oslo,Emma Solheim,Laptop Air 13,Hardware,4,12490,49960,Web,SMB
ORD-10197,2026-07-20,Oslo,Jonas Berg,Cloud Backup 1TB,Services,2,990,1980,Phone,SMB
ORD-10198,2026-07-20,Oslo,Emma Solheim,Office Suite License,Software,1,1188,1188,Partner,SMB
ORD-10199,2026-07-20,Oslo,Emma Solheim,Mechanical Keyboard,Accessories,3,990,2970,Phone,SMB
ORD-10200,2026-07-20,Bergen,Markus Vik,USB-C Hub,Accessories,3,449,1347,Web,Consumer
ORD-10201,2026-07-20,Bergen,Markus Vik,Wireless Headset,Accessories,7,1290,9030,Partner,Public Sector
ORD-10202,2026-07-20,Bergen,Markus Vik,"Monitor 27"" 4K",Hardware,4,4990,19960,Web,Consumer
ORD-10203,2026-07-20,Bergen,Markus Vik,Onboarding Package,Services,3,7500,22500,Phone,Public Sector
ORD-10204,2026-07-20,Trondheim,Nora Lien,USB-C Hub,Accessories,28,449,12572,Partner,Enterprise
ORD-10205,2026-07-20,Stavanger,Oda Strand,Laptop Pro 14,Hardware,1,18990,18990,Web,SMB
ORD-10206,2026-07-20,Stavanger,Lars Eide,Office Suite License,Software,11,1188,13068,Direct,Public Sector
ORD-10207,2026-07-21,Oslo,Emma Solheim,Laptop Air 13,Hardware,1,12490,12490,Partner,SMB
ORD-10208,2026-07-21,Oslo,Emma Solheim,Managed Support (month),Services,7,2490,17430,Phone,Enterprise
ORD-10209,2026-07-21,Oslo,Jonas Berg,Cloud Backup 1TB,Services,2,990,1980,Phone,SMB
ORD-10210,2026-07-21,Oslo,Jonas Berg,Wireless Headset,Accessories,1,1290,1290,Direct,SMB
ORD-10211,2026-07-21,Oslo,Emma Solheim,USB-C Hub,Accessories,4,449,1796,Phone,SMB
ORD-10212,2026-07-21,Bergen,Sofie Dahl,Laptop Air 13,Hardware,1,12490,12490,Direct,SMB
ORD-10213,2026-07-21,Bergen,Markus Vik,Office Suite License,Software,3,1188,3564,Direct,Consumer
ORD-10214,2026-07-21,Bergen,Sofie Dahl,Onboarding Package,Services,3,7500,22500,Direct,Public Sector
ORD-10215,2026-07-21,Bergen,Markus Vik,Mechanical Keyboard,Accessories,4,990,3960,Partner,SMB
ORD-10216,2026-07-21,Trondheim,Henrik Moen,USB-C Hub,Accessories,30,449,13470,Partner,Enterprise
ORD-10217,2026-07-21,Trondheim,Nora Lien,Docking Station,Hardware,2,1890,3780,Web,SMB
ORD-10218,2026-07-21,Trondheim,Henrik Moen,Security Suite License,Software,27,1548,41796,Phone,Enterprise
ORD-10219,2026-07-21,Trondheim,Henrik Moen,Laptop Air 13,Hardware,2,12490,24980,Phone,SMB
ORD-10220,2026-07-21,Trondheim,Henrik Moen,Managed Support (month),Services,4,2490,9960,Direct,SMB
ORD-10221,2026-07-21,Stavanger,Lars Eide,Managed Support (month),Services,3,2490,7470,Partner,Consumer
ORD-10222,2026-07-21,Stavanger,Oda Strand,Office Suite License,Software,4,1188,4752,Partner,SMB
ORD-10223,2026-07-21,Stavanger,Lars Eide,Cloud Backup 1TB,Services,34,990,33660,Direct,Enterprise
ORD-10224,2026-07-21,Tromsø,Mia Foss,Laptop Air 13,Hardware,11,12490,137390,Direct,Public Sector
ORD-10225,2026-07-21,Tromsø,Mia Foss,USB-C Hub,Accessories,1,449,449,Direct,Consumer
ORD-10226,2026-07-22,Oslo,Emma Solheim,Managed Support (month),Services,4,2490,9960,Phone,SMB
ORD-10227,2026-07-22,Oslo,Ingrid Bakke,Onboarding Package,Services,1,7500,7500,Phone,Consumer
ORD-10228,2026-07-22,Oslo,Ingrid Bakke,Docking Station,Hardware,2,1890,3780,Partner,Consumer
ORD-10229,2026-07-22,Oslo,Jonas Berg,Wireless Headset,Accessories,3,1290,3870,Web,SMB
ORD-10230,2026-07-22,Oslo,Emma Solheim,Managed Support (month),Services,3,2490,7470,Web,SMB
ORD-10231,2026-07-22,Oslo,Emma Solheim,Managed Support (month),Services,3,2490,7470,Phone,SMB
ORD-10232,2026-07-22,Bergen,Markus Vik,Mechanical Keyboard,Accessories,4,990,3960,Phone,SMB
ORD-10233,2026-07-22,Bergen,Markus Vik,Wireless Headset,Accessories,13,1290,16770,Web,Enterprise
ORD-10234,2026-07-22,Bergen,Sofie Dahl,Security Suite License,Software,3,1548,4644,Partner,SMB
ORD-10235,2026-07-22,Trondheim,Henrik Moen,Docking Station,Hardware,4,1890,7560,Phone,SMB
ORD-10236,2026-07-22,Trondheim,Henrik Moen,"Monitor 27"" 4K",Hardware,3,4990,14970,Web,SMB
ORD-10237,2026-07-22,Trondheim,Henrik Moen,Managed Support (month),Services,2,2490,4980,Direct,SMB
ORD-10238,2026-07-22,Trondheim,Henrik Moen,"Monitor 27"" 4K",Hardware,2,4990,9980,Direct,SMB
ORD-10239,2026-07-22,Stavanger,Oda Strand,Office Suite License,Software,5,1188,5940,Phone,Public Sector
ORD-10240,2026-07-22,Stavanger,Lars Eide,Office Suite License,Software,2,1188,2376,Partner,Consumer
ORD-10241,2026-07-22,Stavanger,Lars Eide,Office Suite License,Software,4,1188,4752,Direct,Consumer
ORD-10242,2026-07-22,Tromsø,Mia Foss,Docking Station,Hardware,2,1890,3780,Partner,Consumer
ORD-10243,2026-07-23,Oslo,Jonas Berg,Security Suite License,Software,1,1548,1548,Partner,Consumer
ORD-10244,2026-07-23,Oslo,Ingrid Bakke,Managed Support (month),Services,4,2490,9960,Web,SMB
ORD-10245,2026-07-23,Oslo,Ingrid Bakke,Office Suite License,Software,4,1188,4752,Web,Consumer
ORD-10246,2026-07-23,Oslo,Jonas Berg,Security Suite License,Software,4,1548,6192,Web,SMB
